id,en,tw,status,comment
2384,bomb,(n.4) 炸彈,,2
2385,bookcase,(n.8) 書架,,2
2386,boss,(n.4) 老闆,,2
2387,bother,"(n.6) 煩惱,麻煩;使人煩惱的人(或事物)",,2
2388,bottle,(n.6) 瓶子,,2
2389,bow,(n.3) 弓,,2
2390,bowling,(n.7) 保齡球戲,,2
2391,brain,"(n.5) 腦;智力,頭腦",,2
2392,branch,(n.6) 樹枝;支部,,2
2393,brand,(n.5) 商標,,2
2394,brick,(n.5) 磚塊,,2
2395,brief,(n.5) 概要;訴書;短而緊的內褲;簡報,,2
2396,broadcast,(n.9) 廣播;廣播節目;散佈;播種,,2
2397,brunch,(n.6) 早午餐,,2
2398,brush,(n.5) 刷子,,2
2399,bun,(n.3) 小圓麵包,,2
2400,bundle,(n.6) 捆;大量,,2
2401,burger,(n.6) 漢堡牛肉餅,,2
2402,burn,(n.4) 灼傷,,2
2403,burst,(n.5) 爆炸;破裂;缺口,,2
2404,business,(n.8) 商業;事,,2
2405,button,(n.6) 鈕扣,,2
2406,cabbage,(n.7) 包心菜,,2
2407,cable,(n.5) 纜索;有線電視,,2
2408,café,(n.4) 小餐館;咖啡廳,,2
2409,cafeteria,(n.9) 自助餐館,,2
2410,calendar,(n.8) 日曆;月曆;行事曆,,2
2411,calm,(n.4) 安靜;鎮定;平靜;無風,,2
2412,cancer,(n.6) 癌症,,2
2413,candle,(n.6) 蠟燭,,2
2414,captain,(n.7) 隊長;機長;艦長,,2
2415,carpet,(n.6) 地毯,,2
2416,carrot,(n.6) 胡蘿蔔,,2
2417,cart,(n.4) 手推車,,2
2418,cartoon,(n.7) 卡通,,2
2419,cash,(n.4) 現款,,2
2420,cassette,(n.8) 卡式磁帶,,2
2421,castle,(n.6) 城堡,,2
2422,catsup,(n.6) 果醬;番茄醬,,2
2423,cave,"(n.4) 洞穴,洞窟",,2
2424,ceiling,(n.7) 天花板,,2
2425,cell,(n.4) 單人牢房;細胞;蜂房的巢室;電池,,2
2426,century,(n.7) 一世紀,,2
2427,cereal,(n.6) 麥片,,2
2428,chalk,(n.5) 粉筆,,2
2429,change,(n.6) 零錢,,2
2430,character,(n.9) 特性;角色;(中文)字,,2
2431,charge,(n.6) 費用;充電,,2
2432,cheat,"(n.5) 騙子;欺詐,欺騙,作弊",,2
2433,chemical,(n.8) 化學製品;化學藥品,,2
2434,chess,(n.5) 西洋棋,,2
2435,chin,(n.4) 下巴,,2
2436,chocolate,(n.9) 巧克力,,2
2437,choice,(n.6) 選擇,,2
2438,chopstick,(n.9) 筷子,,2
2439,circle,(n.6) 圓圈;集團,,2
2440,citizen,(n.7) 市民;公民,,2
2441,claim,"(n.5) 主張,斷言",,2
2442,clap,(n.4) 拍手喝采(聲);霹靂聲;輕拍,,2
2443,classic,(n.7) 古典著作,,2
2444,claw,"(n.4) (動物的)爪,腳爪;(蟹,蝦等的)鉗,螯",,2
2445,clay,(n.4) 黏土,,2
2446,cleaner,(n.7) 清潔工;乾洗店;吸塵器;清潔劑,,2
2447,clerk,(n.5) 店員;辦事員;職員,,2
2448,climate,(n.7) 氣候,,2
2449,closet,(n.6) 壁櫥;衣櫥,,2
2450,cloth,"(n.5) 布;(棉,毛,合成纖維等)織物;衣料",,2
2451,clothes,(n.7) 衣服,,2
2452,clothing,"(n.8) (總稱)衣服,衣著",,2
2453,clown,"(n.5) 小丑,丑角",,2
2454,club,(n.4) 俱樂部;夜總會;社團,,2
2455,coach,(n.5) 教練,,2
2456,coal,(n.4) 煤,,2
2457,cock,(n.4) 公雞,,2
2458,cockroach,(n.9) 蟑螂,,2
2459,coin,(n.4) 硬幣,,2
2460,comb,(n.4) 梳子,,2
2461,company,(n.7) 公司,,2
2462,completion,"(n.10) 完成,實現",,2
2463,computer,(n.8) 電腦,,2
2464,conflict,"(n.8) 抵觸,不一致",,2
2465,Confucius,(n.9) 孔子,,2
2466,congratulation,(n.14) 祝賀,,2
2467,contact,(n.7) 接觸;隱形眼鏡,,2
2468,control,(n.7) 支配;控制;操縱裝置;指揮部,,2
2469,controller,(n.10) 主計官;主管;控制器,,2
2470,conversation,(n.12) 會話,,2
2471,cooker,"(n.6) 炊具,烹調器具",,2
2472,copy,(n.4) 拷貝;副本,,2
2473,corner,(n.6) 角落,,2
2474,cotton,(n.6) 棉花,,2
2475,cough,(n.5) 咳嗽,,2
2476,countryside,"(n.11) 鄉間,農村",,2
2477,county,(n.6) 郡,,2
2478,couple,(n.6) 一對,,2
2479,courage,(n.7) 勇氣,,2
2480,court,(n.5) 法庭；(網球等的)場地,,2
2481,cousin,(n.6) 表(堂)兄弟姊妹,,2
2482,crab,(n.4) 螃蟹,,2
2483,crane,"(n.5) 起重機,吊車",,2
2484,crayon,(n.6) 蠟筆,,2
2485,cream,(n.5) 奶油,,2
2486,crime,(n.5) 犯罪,,2
2487,crisis,(n.6) 危機;緊急關頭,,2
2488,crop,(n.4) 作物,,2
2489,cross,(n.5) 十字架,,2
2490,crowd,(n.5) 群眾,,2
2491,culture,(n.7) 文化,,2
2492,cure,(n.4) 痊癒,,2
2493,curtain,(n.7) 窗簾;(舞臺上的)幕,,2
2494,custom,(n.6) 習俗,,2
2495,customer,(n.8) 顧客,,2
2496,daily,(n.5) 日報,,2
2497,damage,(n.6) 損害,,2
2498,data,"(n.4) 資料,數據",,2
2499,dawn,(n.4) 黎明,,2
2500,debate,(n.6) 辯論,,2
2501,debt,"(n.4) 債,借款",,2
2502,decision,(n.8) 決定,,2
2503,degree,(n.6) 程度,,2
2504,delay,(n.5) 延遲;耽擱,,2
2505,dentist,(n.7) 牙醫,,2
2506,department,(n.10) 部門,,2
2507,depth,"(n.5) 深度,厚度",,2
2508,desert,(n.6) 沙漠;(常複數)賞罰;(尤指)懲罰,,2
2509,design,(n.6) 圖案;設計,,2
2510,desire,(n.6) 渴望,,2
2511,dessert,(n.7) 餐後甜點,,2
2512,development,(n.11) 生長;發展,,2
2513,dew,(n.3) 露水;朝氣,,2
2514,dial,(n.4) 刻度盤;調節器;撥號盤,,2
2515,diamond,(n.7) 鑽石,,2
2516,diary,(n.5) 日記,,2
2517,dictionary,(n.10) 字典,,2
2518,difference,(n.10) 差別,,2
2519,difficulty,(n.10) 困難,,2
2520,dinosaur,(n.8) 恐龍,,2
2521,direction,(n.9) 方向; 指示,,2
2522,director,(n.8) 董事;局長;主任;導演,,2
2523,disagreement,(n.12) 意見不一;不一致,,2
2524,discussion,(n.10) 討論,,2
2525,display,"(n.7) 展覽,陳列",,2
2526,distance,(n.8) 距離,,2
2527,divide,"(n.6) 分歧,不和;分水嶺",,2
2528,division,(n.8) 區域;部分;除(法),,2
2529,dolphin,(n.7) 海豚,,2
2530,donkey,(n.6) 驢子,,2
2531,dot,(n.3) 點;小圓點,,2
2532,double,(n.6) 兩倍,,2
2533,doubt,(n.5) 懷疑,,2
2534,doughnut,(n.8) 油炸圈餅,,2
2535,downtown,(n.8) 城市商業區,,2
2536,drag,(n.4) 拖曳,,2
2537,dragon,(n.6) 龍,,2
2538,dragonfly,(n.9) 蜻蜓,,2
2539,drama,(n.5) 戲劇,,2
2540,drawer,(n.6) 抽屜,,2
2541,drawing,"(n.7) 描繪,素描;製圖;抽籤;提款",,2
2542,dress,(n.5) 洋裝,,2
2543,drop,(n.4) (一)滴;點滴;空投;點藥水,,2
2544,drug,(n.4) 藥品;毒品,,2
2545,drugstore,(n.9) (常兼售雜貨的)藥房,,2
2546,drum,(n.4) 鼓,,2
2547,dryer,(n.5) 烘衣機,,2
2548,dumpling,(n.8) 餃子,,2
2549,duty,(n.4) 義務;關稅,,2
2550,earthquake,(n.10) 地震,,2
2551,education,(n.9) 教育,,2
2552,effect,(n.6) 效力;作用,,2
2553,effort,(n.6) 努力,,2
2554,elder,(n.5) 長輩,,2
2555,element,"(n.7) 要素,成分",,2
2556,elevator,(n.8) 電梯;升降機,,2
2557,emotion,(n.7) 情緒,,2
2558,encouragement,(n.13) 鼓勵;獎勵;促進,,2
2559,ending,"(n.6) 結局,結尾;終結;字尾",,2
2560,enemy,(n.5) 敵人,,2
2561,energy,(n.6) 精力;能量,,2
2562,enjoyment,"(n.9) 樂趣,享受",,2
2563,entrance,(n.8) 入口,,2
2564,envelope,(n.8) 信封,,2
2565,environment,(n.11) 環境,,2
2566,eraser,(n.6) 橡皮擦,,2
2567,error,(n.5) 錯誤,,2
2568,event,(n.5) 事件,,2
2569,excitement,"(n.10) 刺激;興奮,激動",,2
2570,excuse,(n.6) 藉口,,2
2571,exercise,(n.8) 運動;習題,,2
2572,experience,(n.10) 經驗,,2
2573,expert,(n.6) 專家;能手,,2
2574,express,(n.7) 快車;快遞;快運,,2
2575,extra,(n.5) 附加的人物或錢;號外,,2
2576,eyebrow,"(n.7) 眉,眉毛",,2
2577,fail,(n.4) 不及格,,2
2578,failure,(n.7) 失敗,,2
2579,fair,(n.4) 商品展覽會,,2
2580,fault,(n.5) 過錯,,2
2581,favor,(n.5) 偏愛;偏袒,,2
2582,favorite,(n.8) 特別喜愛的人(或物),,2
2583,fee,(n.3) 費用,,2
2584,fellow,(n.6) 伙伴;同事,,2
2585,female,(n.6) 雌性動物,,2
2586,fence,(n.5) 柵欄;籬笆,,2
2587,festival,(n.8) 節日,,2
2588,fever,(n.5) 發燒,,2
2589,field,(n.5) 原野;田賽場地;野外,,2
2590,fighter,"(n.7) 戰士,鬥士",,2
2591,figure,(n.6) 外形;數字;圖表;(溜冰等)花式,,2
2592,film,(n.4) 膠捲;影片,,2
2593,fireman,(n.7) 消防隊員,,2
2594,firewoman,(n.9) 女消防隊員,,2
2595,fisherman,(n.9) 漁夫,,2
2596,fit,(n.3) 適合;合身,,2
2597,fix,(n.3) 困境;窘境;賄賂;定位,,2
2598,flag,(n.4) 旗子,,2
2599,flash,"(n.5) 閃光,閃爍",,2
2600,flashlight,(n.10) 手電筒,,2
2601,flat,(n.4) 平坦部分,,2
2602,flight,(n.6) 飛行,,2
2603,flood,"(n.5) 洪水,水災",,2
2604,flour,(n.5) 麵粉,,2
2605,flow,(n.4) 流動,,2
2606,flu,(n.3) 流行性感冒,,2
2607,flute,(n.5) 橫笛,,2
2608,focus,(n.5) 焦點,,2
2609,following,(n.9) 一批追隨者;下列事物(或人員),,2
2610,fool,(n.4) 呆子,,2
2611,football,(n.8) 美式足球,,2
2612,foreigner,(n.9) 外國人,,2
2613,form,(n.4) 形態;表格,,2
2614,forward,(n.7) 前鋒,,2
2615,fox,(n.3) 狐狸,,2
2616,freedom,(n.7) 自由,,2
2617,freezer,(n.7) 冰箱的冷凍部;冷凍箱,,2
2618,fridge,(n.6) 電冰箱,,2
2619,fright,"(n.6) 驚嚇,恐怖",,2
2620,function,"(n.8) 功能,作用;函數",,2
2621,future,(n.6) 未來,,2
2622,gain,(n.4) 獲得;增加;獲利;收益,,2
2623,garage,(n.6) 車庫,,2
2624,garbage,(n.7) 垃圾,,2
2625,gardener,(n.8) 園丁;花匠,,2
2626,gate,(n.4) 柵門;登機門,,2
2627,general,(n.7) 將軍,,2
2628,gentleman,(n.9) 紳士,,2
2629,geography,(n.9) 地理,,2
2630,giant,(n.5) 巨人,,2
2631,giraffe,(n.7) 長頸鹿,,2
2632,glove,(n.5) 手套,,2
2633,glue,(n.4) 膠;膠水,,2
2634,goal,(n.4) 目標;球門,,2
2635,goat,(n.4) 山羊,,2
2636,golf,(n.4) 高爾夫球,,2
2637,government,(n.10) 政府,,2
2638,grade,(n.5) 年級;分數,,2
2639,grape,(n.5) 葡萄,,2
2640,growth,(n.6) 成長;發育;增大,,2
2641,guard,(n.5) 警衛,,2
2642,guava,(n.5) 番石榴,,2
2643,guitar,(n.6) 吉他,,2
2644,guy,(n.3) 傢伙;人,,2
2645,habit,(n.5) 習慣,,2
2646,hall,(n.4) 大廳;講堂,,2
2647,hamburger,(n.9) 漢堡,,2
2648,hammer,(n.6) 鎚,,2
2649,handkerchief,(n.12) 手帕,,2
2650,handle,(n.6) 把手,,2
2651,hanger,(n.6) 衣架,,2
2652,heater,(n.6) 暖氣機,,2
2653,height,(n.6) 高度,,2
2654,hen,(n.3) 母雞,,2
2655,hero,(n.4) 英雄,,2
2656,heroine,"(n.7) 女英雄,女傑",,2
2657,highway,(n.7) 公路;幹道,,2
2658,hip,(n.3) 臀部,,2
2659,hippo,(n.5) 河馬,,2
2660,hippopotamus,(n.12) 河馬,,2
2661,hire,"(n.4) 租用,雇用",,2
2662,hobby,(n.5) 嗜好,,2
2663,holder,(n.6) 持有者;支托物,,2
2664,honey,(n.5) 蜂蜜;心愛的人,,2
2665,hop,(n.3) 單足跳;跳躍;麻藥(尤指鴉片),,2
2666,hospital,(n.8) 醫院,,2
2667,host,(n.4) 主人,,2
2668,hostess,(n.7) 女主人,,2
2669,hotel,(n.5) 旅館,,2
2670,hum,(n.3) 嗡嗡聲,,2
2671,humor,(n.5) 幽默,,2
2672,hunger,(n.6) 饑餓,,2
2673,hunt,(n.4) 打獵;搜尋,,2
2674,hunter,(n.6) 獵人,,2
2675,hurry,(n.5) 匆忙,,2
2676,icebox,(n.6) 冷藏庫;冰箱,,2
2677,ill,(n.3) 不幸;禍害,,2
2678,importance,(n.10) 重要性,,2
2679,improvement,"(n.11) 改進,改善",,2
2680,income,(n.6) 收入,,2
2681,increase,(n.8) 增加;增強,,2
2682,independence,(n.12) 獨立;自主;自立,,2
2683,industry,(n.8) 企業;行業,,2
2684,influence,(n.9) 影響,,2
2685,ink,(n.3) 墨水,,2
2686,insect,(n.6) 昆蟲,,2
2687,instance,(n.8) 例子,,2
2688,instant,(n.7) 瞬間,,2
2689,instrument,(n.10) 儀器,,2
2690,interview,(n.9) 面談;採訪,,2
2691,invitation,(n.10) 邀請,,2
2692,island,(n.6) 島嶼,,2
2693,item,(n.4) 項目;品目,,2
2694,jacket,(n.6) 夾克;外套,,2
2695,jam,(n.3) 果醬;擁塞,,2
2696,jazz,(n.4) 爵士樂,,2
2697,jeans,(n.5) 牛仔褲,,2
2698,jeep,(n.4) 吉普車,,2
2699,jog,(n.3) 輕推;輕撞;慢跑;緩行;暗示,,2
2700,joint,"(n.5) 接頭,接縫;關節",,2
2701,judge,(n.5) 法官,,2
2702,judgement,(n.9) 審判; 裁判;評價,,2
2703,judgment,(n.8) 審判;裁判;判斷力,,2
2704,ketchup,(n.7) 番茄醬,,2
2705,kindergarten,(n.12) 幼稚園,,2
2706,kingdom,(n.7) 王國,,2
2707,knock,"(n.5) 敲;擊,打;指摘,挑剔",,2
2708,knowledge,(n.9) 學問;知識,,2
2709,koala,(n.5) 澳洲產無尾熊,,2
2710,ladybird,(n.8) 瓢蟲,,2
2711,ladybug,(n.7) 瓢蟲,,2
2712,lane,"(n.4) 巷,弄;車道",,2
2713,language,(n.8) 語言,,2
2714,lantern,(n.7) 燈籠,,2
2715,lap,"(n.3) 膝部;(衣,裙等的)下襬",,2
2716,lawyer,(n.6) 律師,,2
2717,leadership,(n.10) 領導才能,,2
2718,lemon,(n.5) 檸檬,,2
2719,lemonade,(n.8) 檸檬水,,2
2720,length,"(n.6) (距離,尺寸的)長度",,2
2721,leopard,(n.7) 豹;美洲豹,,2
2722,lettuce,(n.7) 類似萵苣的生菜,,2
2723,library,(n.7) 圖書館,,2
2724,lick,"(n.4) 舔,舐;少量",,2
2725,lid,(n.3) 蓋子,,2
2726,lightning,(n.9) 閃電,,2
2727,limit,(n.5) 限度,,2
2728,link,(n.4) 環節,,2
2729,liquid,(n.6) 液體,,2
2730,listener,(n.8) 傾聽者,,2
2731,loaf,(n.4) 一條(麵包),,2
2732,local,(n.5) 當地居民,,2
2733,lock,(n.4) 鎖,,2
2734,log,(n.3) 原木;木料;工作記錄簿,,2
2735,loser,(n.5) 輸家,,2
2736,loss,(n.4) 損失,,2
2737,lover,(n.5) 情人,,2
2738,luck,(n.4) 好運;幸運,,2
2739,magazine,(n.8) 雜誌,,2
2740,magic,(n.5) 魔術,,2
2741,magician,(n.8) 魔術師,,2
2742,main,(n.4) 總管道;主要部分;要點,,2
2743,male,(n.4) 雄性動物,,2
2744,Mandarin,(n.8) 中國的官話(北京話),,2
2745,mango,(n.5) 芒果,,2
2746,manner,(n.6) 舉止;態度,,2
2747,mark,(n.4) 記號,,2
2748,marriage,"(n.8) 結婚,婚姻",,2
2749,mask,(n.4) 面具,,2
2750,mass,(n.4) 團;塊,,2
2751,mat,(n.3) 蓆子;墊子,,2
2752,match,"(n.5) 比賽,競賽;對手;相配者;火柴",,2
2753,mate,"(n.4) 同伴,伙伴",,2
2754,meal,(n.4) 餐,,2
2755,meaning,(n.7) 意義,,2
2756,means,"(n.5) 手段,方法;工具;收入",,2
2757,measurement,(n.11) 測量法;測定;尺寸,,2
2758,medicine,(n.8) 藥,,2
2759,meeting,(n.7) 集會,,2
2760,melody,(n.6) 旋律;主調,,2
2761,melon,"(n.5) 瓜,甜瓜",,2
2762,member,(n.6) 會員,,2
2763,memory,(n.6) 記憶,,2
2764,menu,(n.4) 菜單,,2
2765,message,(n.7) 消息;音信,,2
2766,metal,(n.5) 金屬,,2
2767,meter,(n.5) 公尺;計量器,,2
2768,method,(n.6) 方法,,2
2769,metro,(n.5) 地下鐵道,,2
2770,military,(n.8) 軍隊,,2
2771,million,(n.7) 百萬,,2
2772,mine,(n.4) 我的東西;礦;源泉;地雷;坑道,,2
2773,minus,(n.5) 負號,,2
2774,mirror,(n.6) 鏡子,,2
2775,mix,"(n.3) 混和,攪和;結合",,2
2776,model,(n.5) 模型;模特兒,,2
2777,monster,(n.7) 怪物,,2
2778,mosquito,(n.8) 蚊子,,2
2779,moth,"(n.4) 蛾;蠹,蛀蟲",,2
2780,motion,(n.6) 移動,,2
2781,motorcycle,(n.10) 機車,,2
2782,mule,(n.4) 騾;固執的人,,2
2783,museum,(n.6) 博物館,,2
2784,musician,(n.8) 音樂家,,2
2785,nail,(n.4) 釘子;指甲,,2
2786,napkin,(n.6) 餐巾,,2
2787,necklace,(n.8) 項鍊,,2
2788,needle,(n.6) 針,,2
2789,negative,(n.8) 否定語;負數;陰電;底片,,2
2790,neighbor,(n.8) 鄰居,,2
2791,nephew,(n.6) 侄子;外甥,,2
2792,nest,(n.4) 巢,,2
2793,net,(n.3) 網子,,2
2794,niece,(n.5) 侄女;外甥女,,2
2795,nobody,(n.6) 無名小子,,2
2796,nod,(n.3) 點頭,,2
2797,noodle,(n.6) 麵,,2
2798,notebook,(n.8) 筆記本,,2
2799,novel,(n.5) 小說,,2
2800,nut,(n.3) 核果,,2
2801,object,(n.6) 物件,,2
2802,offer,"(n.5) 提供,提議;出價;報價",,2
2803,official,"(n.8) 官員,公務員",,2
2804,onion,(n.5) 洋蔥,,2
2805,opinion,(n.7) 意見,,2
2806,organ,(n.5) 器官,,2
2807,organization,(n.12) 組織,,2
2808,oven,(n.4) 烤箱,,2
2809,overpass,(n.8) 天橋,,2
2810,owl,(n.3) 貓頭鷹,,2
2811,owner,(n.5) 物主,,2
2812,ox,(n.2) 公牛,,2
2813,pack,(n.4) 一小包,,2
2814,package,(n.7) 包裹,,2
2815,pain,(n.4) 疼痛;痛苦,,2
2816,painter,(n.7) 油漆匠;畫家,,2
2817,painting,"(n.8) 油畫,水彩畫",,2
2818,pajamas,(n.7) 睡衣,,2
2819,palm,"(n.4) 手掌,手心",,2
2820,pan,(n.3) 平鍋,,2
2821,panda,(n.5) 貓熊,,2
2822,papaya,(n.6) 木瓜,,2
2823,pardon,"(n.6) 原諒,饒恕,寬恕;赦免",,2
2824,parrot,(n.6) 鸚鵡,,2
2825,partner,(n.7) 夥伴,,2
2826,passenger,(n.9) 乘客,,2
2827,paste,(n.5) 漿糊,,2
2828,pat,"(n.3) 輕拍,輕打",,2
2829,path,(n.4) 小徑;路線,,2
2830,patient,(n.7) 病人,,2
2831,pattern,(n.7) 圖案;模式,,2
2832,peace,(n.5) 和平,,2
2833,peach,(n.5) 桃子,,2
2834,peanut,(n.6) 花生;花生果;花生米,,2
2835,pear,(n.4) 梨子,,2
2836,penguin,(n.7) 企鵝,,2
2837,pepper,(n.6) 胡椒;辣椒,,2
2838,perfect,(n.7) 完成式,,2
2839,period,(n.6) 一段時間;一堂課,,2
2840,phone,(n.5) 電話,,2
2841,photo,(n.5) 相片,,2
2842,photograph,(n.10) 照片,,2
2843,photographer,"(n.12) 攝影師,照相師",,2
2844,phrase,"(n.6) 片語,詞組",,2
2845,pick,"(n.4) 精華,最好的部分;收穫(量)",,2
2846,picnic,(n.6) 野餐,,2
2847,pigeon,(n.6) 鴿子,,2
2848,pile,(n.4) 一堆,,2
2849,pillow,(n.6) 枕頭,,2
2850,pin,(n.3) 大頭針;胸針,,2
2851,pineapple,(n.9) 鳳梨,,2
2852,ping-pong,"(n.9) 乒乓球,桌球",,2
2853,pink,(n.4) 粉紅色,,2
2854,pipe,(n.4) 管子,,2
2855,pitch,(n.5) 投;投球;音高,,2
2856,pizza,(n.5) 披薩,,2
2857,plain,(n.5) 平原,,2
2858,planet,(n.6) 行星,,2
2859,plate,(n.5) 盤;碟,,2
2860,platform,(n.8) 月台;平台,,2
2861,pleasure,(n.8) 愉快,,2
2862,plus,(n.4) 正號,,2
2863,poem,(n.4) 詩,,2
2864,poet,(n.4) 詩人,,2
2865,poison,(n.6) 毒物,,2
2866,policy,(n.6) 政策;策略,,2
2867,population,(n.10) 人口,,2
2868,pork,(n.4) 豬肉,,2
2869,port,(n.4) 港,,2
2870,pose,(n.4) 姿勢;裝腔作勢,,2
2871,positive,(n.8) 正面;正數;正片;(電池的)陽極,,2
2872,possibility,(n.11) 可能性,,2
2873,post,(n.4) 郵件;柱;樁;崗位;站;交易所,,2
2874,postcard,(n.8) 明信片,,2
2875,pot,(n.3) 罐;鍋,,2
2876,potato,(n.6) 馬鈴薯,,2
2877,pound,(n.5) 磅,,2
2878,praise,"(n.6) 讚揚,稱讚",,2
2879,presence,"(n.8) 出席,在場",,2
2880,present,(n.7) 禮物,,2
2881,president,(n.9) 校長;總統,,2
2882,press,(n.5) 新聞輿論,,2
2883,pride,"(n.5) 自豪,得意",,2
2884,prince,(n.6) 王子,,2
2885,princess,(n.8) 公主,,2
2886,principal,(n.9) (中小學)校長,,2
2887,principle,(n.9) 主義;真諦,,2
2888,printer,(n.7) 印表機;印刷業者,,2
2889,prison,(n.6) 監獄,,2
2890,prisoner,(n.8) 囚犯;俘虜,,2
2891,prize,(n.5) 獎品,,2
2892,produce,(n.7) 農產品,,2
2893,producer,"(n.8) 生產者,製造者製片人",,2
2894,progress,(n.8) 進步,,2
2895,project,(n.7) 計畫,,2
2896,promise,"(n.7) 承諾,諾言;希望,前途",,2
2897,pudding,(n.7) 布丁,,2
2898,pump,(n.4) 唧筒;打氣機;抽水機,,2
2899,pumpkin,(n.7) 南瓜,,2
2900,punishment,(n.10) 處罰;懲罰,,2
2901,pupil,(n.5) 學生,,2
2902,puppet,(n.6) 木偶;傀儡,,2
2903,puppy,(n.5) 小狗,,2
2904,purse,(n.5) 錢包,,2
2905,puzzle,(n.6) 謎,,2
2906,quality,(n.7) 品質,,2
2907,quantity,(n.8) 量,,2
2908,quarter,(n.7) ¼;美金25分;15分鐘,,2
2909,quiz,(n.4) 小考,,2
2910,rabbit,(n.6) 兔子,,2
2911,range,(n.5) 範圍;等級;多爐爐灶,,2
2912,reality,(n.7) 現實;真實,,2
2913,record,(n.6) 記錄;唱片,,2
2914,rectangle,(n.9) 長方形,,2
2915,refrigerator,(n.12) 電冰箱,,2
2916,regard,(n.6) 事項;問候,,2
2917,region,"(n.6) 地區,地帶",,2
2918,regular,(n.7) 正規兵;老客戶;長工;普通尺寸,,2
2919,relation,"(n.8) 關係,關聯",,2
2920,relationship,"(n.12) 關係,關聯;人際關係",,2
2921,repeat,(n.6) 重複;重播;複寫;副本;,,2
2922,reply,(n.5) 答覆,,2
2923,reporter,(n.8) 記者,,2
2924,requirement,(n.11) 需要;必需品,,2
2925,respect,(n.7) 尊敬,,2
2926,restaurant,(n.10) 餐廳,,2
2927,restroom,(n.8) 廁所,,2
2928,restroom,(n.8) 廁所,,2
2929,result,(n.6) 結果,,2
2930,review,(n.6) 復習,,2
2931,riches,"(n.6) 財富,財產;富有,豐饒",,2
2932,roach,(n.5) 蟑螂,,2
2933,role,(n.4) 角色,,2
2934,roll,(n.4) 滾動;(一)捲;捲餅;隆隆聲;名單,,2
2935,ruler,(n.5) 尺;統治者,,2
2936,runner,(n.6) 賽跑者;逃亡者,,2
2937,rush,(n.4) 急速行動;(交通等的)繁忙;搶購,,2
2938,safety,(n.6) 安全,,2
2939,sailor,(n.6) 水手,,2
2940,salad,(n.5) 沙拉,,2
2941,sample,(n.6) 樣品,,2
2942,sandwich,(n.8) 三明治,,2
2943,sauce,"(n.5) 調味醬,醬汁",,2
2944,science,(n.7) 科學,,2
2945,scientist,(n.9) 科學家,,2
2946,scissors,(n.8) 剪刀,,2
2947,score,(n.5) 得分; 二十; 刻痕; 樂譜,,2
2948,screen,(n.6) 屏;銀幕,,2
2949,search,"(n.6) 搜查,搜尋;檢查;探索,調查",,2
2950,secret,(n.6) 秘密,,2
2951,secretary,(n.9) 秘書,,2
2952,section,(n.7) 節;斷面,,2
2953,selection,"(n.9) 選擇;選拔;選集,文選",,2
2954,semester,(n.8) 學期,,2
2955,servant,(n.7) 雇工,,2
2956,settlement,(n.10) 解決;清算;定居,,2
2957,share,(n.5) 股份;市場佔有率;分攤;貢獻,,2
2958,shelf,(n.5) 架子,,2
2959,shell,"(n.5) 殼,果殼;貝殼",,2
2960,shock,(n.5) 震驚,,2
2961,shoot,"(n.5) 幼芽,幼枝;狩獵(隊);射擊;拍攝",,2
2962,shorts,(n.6) 短褲,,2
2963,shower,(n.6) 陣雨;淋浴,,2
2964,shrimp,(n.6) 蝦子,,2
2965,sidewalk,(n.8) 路邊行人道,,2
2966,sign,(n.4) 記號,,2
2967,silence,(n.7) 寂靜,,2
2968,silk,"(n.4) 蠶絲,絲;絲織物(品),綢布",,2
2969,single,(n.6) 單的;一壘安打,,2
2970,sink,(n.4) 洗物槽,,2
2971,skirt,(n.5) 裙子,,2
2972,slide,(n.5) 滑梯;土崩,,2
2973,slip,(n.4) 滑跤,,2
2974,slipper,(n.7) 拖鞋,,2
2975,snack,(n.5) 點心,,2
2976,snail,(n.5) 蝸牛,,2
2977,soccer,(n.6) 足球,,2
2978,society,(n.7) 社會,,2
2979,sock,(n.4) 短襪,,2
2980,soldier,(n.7) 軍人,,2
2981,solution,(n.8) 解答;溶劑,,2
2982,somebody,(n.8) 某人;有名氣的人,,2
2983,sort,(n.4) 類型;排序,,2
2984,source,(n.6) 源頭,,2
2985,soy,(n.3) 醬油;大豆,,2
2986,soybean,(n.7) 大豆,,2
2987,speaker,(n.7) 演講者;揚聲器,,2
2988,speed,(n.5) 速度,,2
2989,spelling,(n.8) 拼字;拼寫;拼法,,2
2990,spider,(n.6) 蜘蛛,,2
2991,spinach,(n.7) 菠菜,,2
2992,spirit,(n.6) 精神,,2
2993,spot,(n.4) 斑點;場所,,2
2994,spread,(n.6) 蔓延;普及;價格差異,,2
2995,spring,(n.6) 春天;泉,,2
2996,square,(n.6) 正方形,,2
2997,squirrel,(n.8) 松鼠,,2
2998,stage,(n.5) 舞臺;(進展的)階段,,2
2999,stamp,(n.5) 郵票;印章,,2
3000,standard,(n.8) 標準,,2
3001,steak,(n.5) 牛排,,2
3002,steam,(n.5) 蒸氣,,2
3003,steel,"(n.5) 鋼,鋼鐵",,2
3004,stick,(n.5) 棍;棒;杖;枝條,,2
3005,storm,(n.5) 暴風雨,,2
3006,stove,(n.5) 爐灶,,2
3007,straight,"(n.8) 直,挺直;(紙牌)五張順牌",,2
3008,stranger,(n.8) 陌生人,,2
3009,straw,(n.5) 稻草;吸管,,2
